"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-NVIDIA-H100-FORM-FACTOR","OBJ-NVIDIA-H100-SXM5-80GB","","","","","","","FIELD-PHY-FORM-FACTOR","SXM5 module with H100 GPU and HBM3","","","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-FORM-FACTOR","reviewed",""
"FACT-NVIDIA-H100-GPC-COUNT","","COMP-NVIDIA-H100-GPC","","","","","","FIELD-COMP-UNIT-COUNT","","8","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Object-level aggregate retained because GPC component rows are not created in this staging.","H100|FACT-NVIDIA-H100-GPC-COUNT","reviewed","Total enabled GPC count in the H100 SXM5 configuration."
"FACT-NVIDIA-H100-TPC-COUNT","","COMP-NVIDIA-H100-TPC","","","","","","FIELD-COMP-UNIT-COUNT","","66","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Object-level aggregate retained because TPC component rows are not created in this staging.","H100|FACT-NVIDIA-H100-TPC-COUNT","reviewed","Total enabled TPC count in the H100 SXM5 configuration."
"FACT-NVIDIA-H100-SM-COUNT","","COMP-NVIDIA-H100-SM","","","","","","FIELD-COMP-UNIT-COUNT","","132","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Object-level aggregate retained because SM component rows are not created in this staging.","H100|FACT-NVIDIA-H100-SM-COUNT","reviewed","Total enabled SM count in the H100 SXM5 configuration."
"FACT-NVIDIA-H100-FP32-CORE-COUNT","","COMP-NVIDIA-H100-CUDA-FP32","","","","","","FIELD-COMP-UNIT-COUNT","","16896","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-FP32-CORE-COUNT","reviewed",""
"FACT-NVIDIA-H100-FP64-CORE-COUNT","","COMP-NVIDIA-H100-CUDA-FP64","","","","","","FIELD-COMP-UNIT-COUNT","","8448","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-FP64-CORE-COUNT","reviewed",""
"FACT-NVIDIA-H100-INT32-CORE-COUNT","","COMP-NVIDIA-H100-CUDA-INT32","","","","","","FIELD-COMP-UNIT-COUNT","","8448","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-INT32-CORE-COUNT","reviewed",""
"FACT-NVIDIA-H100-TENSOR-CORE-COUNT","","COMP-NVIDIA-H100-TENSOR-CORE","","","","","","FIELD-COMP-UNIT-COUNT","","528","count","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-TENSOR-CORE-COUNT","reviewed",""
"FACT-NVIDIA-H100-MAX-TDP","OBJ-NVIDIA-H100-SXM5-80GB","","","","","","","FIELD-PHY-POWER","","700","W","COND-NONE","direct_statement","single_source","provisional","","","high","Current H100 datasheet product-level specification.","H100|FACT-NVIDIA-H100-MAX-TDP","reviewed","Configurable maximum TDP."
"FACT-NVIDIA-H100-MIG-PARTITIONING","OBJ-NVIDIA-H100-SXM5-80GB","","","","","","","FIELD-VIRT-PARTITIONING","Up to 7 GPU instances, each with 10 GB memory","","","COND-NONE","direct_statement","single_source","provisional","","","medium","Single selected first-party source candidate; pending parent review.","H100|FACT-NVIDIA-H100-MIG-PARTITIONING","reviewed",""
