"object_relation_id","subject_object_id","relation_type","object_object_id","relation_fingerprint","review_status","notes"
"OREL-NVIDIA-H100-IMPLEMENTS-HOPPER","OBJ-NVIDIA-H100-SXM5-80GB","implements_architecture","OBJ-NVIDIA-HOPPER-ARCH","OBJ-NVIDIA-H100-SXM5-80GB|implements_architecture|OBJ-NVIDIA-HOPPER-ARCH","reviewed","试填对象关系。"
"OREL-AWS-TRAINIUM2-IMPLEMENTS-ARCH","OBJ-AWS-TRAINIUM2-CHIP","implements_architecture","OBJ-AWS-TRAINIUM2-ARCH","OBJ-AWS-TRAINIUM2-CHIP|implements_architecture|OBJ-AWS-TRAINIUM2-ARCH","reviewed","试填对象关系。"
"OREL-AWS-TRN2-INSTANCE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-INSTANCE-FAMILY","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRN2-INSTANCE-FAMILY|instance_contains_accelerator|OBJ-AWS-TRAINIUM2-CHIP","reviewed","数量另存事实，不从配置族关系推断。"
"OREL-AWS-TRN2-ULTRASERVER-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-ULTRASERVER-64","physically_contains","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRN2-ULTRASERVER-64|physically_contains|OBJ-AWS-TRAINIUM2-CHIP","needs_resolution","64 的数量必须单独由系统事实和来源支撑。"
"OREL-CAMBRICON-MLU590-IMPLEMENTS-ARCH","OBJ-CAMBRICON-MLU590-CHIP","implements_architecture","OBJ-CAMBRICON-MLU590-ARCH","OBJ-CAMBRICON-MLU590-CHIP|implements_architecture|OBJ-CAMBRICON-MLU590-ARCH","reviewed","2022 厂商新闻直接关联思元590与 MLUarch05。"
"OREL-AWS-TRN2-3XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2-3XLARGE","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","OBJ-AWS-TRN2-3XLARGE|sku_variant_of|OBJ-AWS-TRN2-INSTANCE-FAMILY","reviewed","具体实例 SKU 归入 Trn2 配置族。"
"OREL-AWS-TRN2-48XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2-48XLARGE","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","OBJ-AWS-TRN2-48XLARGE|sku_variant_of|OBJ-AWS-TRN2-INSTANCE-FAMILY","reviewed","具体实例 SKU 归入 Trn2 配置族。"
"OREL-AWS-TRN2U-48XLARGE-VARIANT-OF-FAMILY","OBJ-AWS-TRN2U-48XLARGE","sku_variant_of","OBJ-AWS-TRN2-INSTANCE-FAMILY","OBJ-AWS-TRN2U-48XLARGE|sku_variant_of|OBJ-AWS-TRN2-INSTANCE-FAMILY","reviewed","UltraServer 组成实例 SKU 归入 Trn2 配置族。"
"OREL-AWS-TRN2-3XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-3XLARGE","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRN2-3XLARGE|instance_contains_accelerator|OBJ-AWS-TRAINIUM2-CHIP","reviewed","实例包含 Trainium2；数量 1 必须另存事实。"
"OREL-AWS-TRN2-48XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2-48XLARGE","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRN2-48XLARGE|instance_contains_accelerator|OBJ-AWS-TRAINIUM2-CHIP","reviewed","实例包含 Trainium2；数量 16 必须另存事实。"
"OREL-AWS-TRN2U-48XLARGE-CONTAINS-TRAINIUM2","OBJ-AWS-TRN2U-48XLARGE","instance_contains_accelerator","OBJ-AWS-TRAINIUM2-CHIP","OBJ-AWS-TRN2U-48XLARGE|instance_contains_accelerator|OBJ-AWS-TRAINIUM2-CHIP","reviewed","实例包含 Trainium2；数量 16 必须另存事实。"
"OREL-AWS-TRN2U-48XLARGE-DEPLOYED-IN-ULTRASERVER","OBJ-AWS-TRN2U-48XLARGE","deployed_in_system","OBJ-AWS-TRN2-ULTRASERVER-64","OBJ-AWS-TRN2U-48XLARGE|deployed_in_system|OBJ-AWS-TRN2-ULTRASERVER-64","needs_resolution","UltraServer 由 4 个 trn2u.48xlarge 组成；数量与供货状态须由系统事实和固定版来源支撑。"
"OREL-NVIDIA-H100-SXM5-CONTAINS-GH100","OBJ-NVIDIA-H100-SXM5-80GB","physically_contains","OBJ-NVIDIA-GH100-DIE","OBJ-NVIDIA-H100-SXM5-80GB|physically_contains|OBJ-NVIDIA-GH100-DIE","reviewed","H100 SXM5 模组包含 GH100 裸片；HBM 作为存储组件另建，不以对象关系表达。"
"OREL-NVIDIA-L20-IMPLEMENTS-ADA","OBJ-NVIDIA-L20","implements_architecture","OBJ-NVIDIA-ADA-LOVELACE-ARCH","OBJ-NVIDIA-L20|implements_architecture|OBJ-NVIDIA-ADA-LOVELACE-ARCH","reviewed","M2 范围门关系；架构归类由 NVIDIA 官方资料确认。"
"OREL-NVIDIA-L2-IMPLEMENTS-ADA","OBJ-NVIDIA-L2","implements_architecture","OBJ-NVIDIA-ADA-LOVELACE-ARCH","OBJ-NVIDIA-L2|implements_architecture|OBJ-NVIDIA-ADA-LOVELACE-ARCH","reviewed","M2 范围门关系；架构归类由 NVIDIA 官方资料确认。"
"OREL-AMD-MI350P-IMPLEMENTS-CDNA4","OBJ-AMD-MI350P","implements_architecture","OBJ-AMD-CDNA4-ARCH","OBJ-AMD-MI350P|implements_architecture|OBJ-AMD-CDNA4-ARCH","reviewed","M2 范围门关系；MI350P 产品页明确归入 CDNA 4。"
