"condition_set_id","condition_fingerprint","precision_path_id","sparsity_mode","sparsity_pattern","operation_type","operation_count_rule","performance_basis","support_level","power_mode","frequency_value","frequency_unit","software_version","workload_stage","bandwidth_direction","aggregation_scope","traffic_basis","measurement_scope","effective_date","review_status","notes","workload_phase","data_role","workload_model","workload_operator","batch_size","microbatch_size","global_batch_size","sequence_length","context_length","input_length","output_length","concurrency","request_rate_value","request_rate_unit","parallelism","accelerator_count","scheduling_policy","quality_constraint","service_level_constraint","metric_name","statistic_basis","message_size_bytes"
"COND-NONE","none","","","","","","","","","","","","","","","","","","approved","无附加条件；只用于确实不受任何工作负载、数值、稀疏、功耗、带宽、软件、规模、统计或时间条件影响的事实。","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-FP8-DENSE","H100|PPATH-NVIDIA-H100-FP8|dense|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-FP8","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Vendor theoretical peak for H100 SXM5; clock is retained where Table 3 states a path-specific peak clock.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-FP8-SPARSE","H100|PPATH-NVIDIA-H100-FP8|structured_sparse|2:4|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-FP8","structured_sparse","2:4 structured sparsity as represented by NVIDIA sparse Tensor Core peak","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Structured-sparse vendor peak; do not compare directly with dense peak.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-FP16-TENSOR-DENSE","H100|PPATH-NVIDIA-H100-FP16-TENSOR|dense|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-FP16-TENSOR","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Vendor theoretical peak for H100 SXM5; clock is retained where Table 3 states a path-specific peak clock.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-FP16-TENSOR-SPARSE","H100|PPATH-NVIDIA-H100-FP16-TENSOR|structured_sparse|2:4|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-FP16-TENSOR","structured_sparse","2:4 structured sparsity as represented by NVIDIA sparse Tensor Core peak","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Structured-sparse vendor peak; do not compare directly with dense peak.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-BF16-TENSOR-DENSE","H100|PPATH-NVIDIA-H100-BF16-TENSOR|dense|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-BF16-TENSOR","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Vendor theoretical peak for H100 SXM5; clock is retained where Table 3 states a path-specific peak clock.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-BF16-TENSOR-SPARSE","H100|PPATH-NVIDIA-H100-BF16-TENSOR|structured_sparse|2:4|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-BF16-TENSOR","structured_sparse","2:4 structured sparsity as represented by NVIDIA sparse Tensor Core peak","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Structured-sparse vendor peak; do not compare directly with dense peak.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-TF32-DENSE","H100|PPATH-NVIDIA-H100-TF32|dense|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-TF32","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Vendor theoretical peak for H100 SXM5; clock is retained where Table 3 states a path-specific peak clock.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-TF32-SPARSE","H100|PPATH-NVIDIA-H100-TF32|structured_sparse|2:4|theoretical_peak|1830MHz","PPATH-NVIDIA-H100-TF32","structured_sparse","2:4 structured sparsity as represented by NVIDIA sparse Tensor Core peak","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1830","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Structured-sparse vendor peak; do not compare directly with dense peak.","","","","","","","","","","","","","","","","","","","","","",""
"COND-NVIDIA-H100-FP64-TENSOR-DENSE","H100|PPATH-NVIDIA-H100-FP64-TENSOR|dense|theoretical_peak|1980MHz","PPATH-NVIDIA-H100-FP64-TENSOR","dense","","matrix_mma","fma_2_ops","theoretical_peak","hardware_peak_published","","1980","MHz","","not_specified","","per_endpoint","vendor_nameplate","per_object","","draft","Vendor theoretical peak for H100 SXM5; clock is retained where Table 3 states a path-specific peak clock.","","","","","","","","","","","","","","","","","","","","","",""
